QuestionID,Category,QuestionType,FolderName,Question,Option1,Option2,Option3,Option4,CorrectIndex,Explanantion
Q_0158,Geo Explorer,Audio,AUD_008,هذا النشيد الوطني ينتمي لأي دولة؟,إسبانيا,المكسيك,الأرجنتين,البرتغال,1,الصوت يمثل النشيد الوطني لإسبانيا.
Q_0159,Geo Explorer,Audio,AUD_009,النشيد الوطني لأي دولة يعزف هنا؟,الولايات المتحدة الأمريكية,فرنسا,المملكة المتحدة,كندا,4,يمثل الصوت النشيد الوطني لكندا.
Q_0160,Geo Explorer,Audio,AUD_010,إلى أي دولة ينتمي هذا النشيد الوطني؟,نيوزيلندا,أستراليا,جنوب أفريقيا,كندا,2,يمثل الصوت النشيد الوطني لأستراليا.
Q_0161,Geo Explorer,Audio,AUD_011,هذا النشيد الوطني ينتمي لأي دولة؟,فيتنام,كوريا,اليابان,الصين,4,يمثل الصوت النشيد الوطني للصين.
Q_0162,Geo Explorer,Audio,AUD_012,النشيد الوطني لأي دولة يعزف هنا؟,شيلي,الأرجنتين,البرازيل,كولومبيا,3,يمثل الصوت النشيد الوطني للبرازيل.
Q_0163,Geo Explorer,Audio,AUD_013,إلى أي دولة ينتمي هذا النشيد الوطني؟,بولندا,روسيا,أوكرانيا,بيلاروسيا,2,يمثل الصوت النشيد الوطني لروسيا.
Q_0164,Geo Explorer,Audio,AUD_014,هذا النشيد الوطني ينتمي لأي دولة؟,كوريا الشمالية,اليابان,كوريا الجنوبية,الصين,3,يمثل الصوت النشيد الوطني لكوريا الجنوبية.
Q_0165,Geo Explorer,Audio,AUD_015,النشيد الوطني لأي دولة يعزف هنا؟,المكسيك,إسبانيا,الأرجنتين,كولومبيا,1,يمثل الصوت النشيد الوطني للمكسيك.
Q_0166,Geo Explorer,Audio,AUD_016,إلى أي دولة ينتمي هذا النشيد الوطني؟,الأرجنتين,شيلي,البرازيل,أوروغواي,1,الصوت يمثل النشيد الوطني للأرجنتين.
Q_0167,Geo Explorer,Audio,AUD_017,هذا النشيد الوطني ينتمي لأي دولة؟,مصر,كينيا,جنوب أفريقيا,نيجيريا,3,الصوت يمثل النشيد الوطني لجنوب أفريقيا.
Q_0168,Geo Explorer,Audio,AUD_018,النشيد الوطني لأي دولة يعزف هنا؟,المملكة العربية السعودية,المغرب,الأردن,مصر,4,الصوت يمثل النشيد الوطني لمصر.
Q_0169,Geo Explorer,Audio,AUD_019,إلى أي دولة ينتمي هذا النشيد الوطني؟,ديك رومى,اليونان,إيطاليا,قبرص,2,الصوت يمثل النشيد الوطني لليونان.
Q_0170,Geo Explorer,Audio,AUD_020,هذا النشيد الوطني ينتمي لأي دولة؟,إيران,اليونان,أذربيجان,ديك رومى,4,الصوت يمثل النشيد الوطني لتركيا.
Q_0171,Geo Explorer,Audio,AUD_021,النشيد الوطني لأي دولة يعزف هنا؟,باكستان,أفغانستان,الهند,إيران,1,الصوت يمثل النشيد الوطني لباكستان.
Q_0172,Geo Explorer,Audio,AUD_022,إلى أي دولة ينتمي هذا النشيد الوطني؟,كمبوديا,ماليزيا,فيتنام,تايلاند,4,يمثل الصوت النشيد الوطني لتايلاند.
Q_0173,Geo Explorer,Audio,AUD_023,هذا النشيد الوطني ينتمي لأي دولة؟,مصر,لبنان,الأردن,إسرائيل,4,الصوت يمثل النشيد الوطني لإسرائيل.
Q_0174,Geo Explorer,Audio,AUD_024,النشيد الوطني لأي دولة يعزف هنا؟,المملكة العربية السعودية,الكويت,الإمارات العربية المتحدة,قطر,1,الصوت يمثل النشيد الوطني للمملكة العربية السعودية.
Q_0175,Geo Explorer,Audio,AUD_025,إلى أي دولة ينتمي هذا النشيد الوطني؟,سنغافورة,ماليزيا,أندونيسيا,فيلبيني,3,يمثل الصوت النشيد الوطني لإندونيسيا.
Q_0176,Geo Explorer,Audio,AUD_026,هذا النشيد الوطني ينتمي لأي دولة؟,ألمانيا,هولندا,الدنمارك,بلجيكا,2,الصوت يمثل النشيد الوطني لهولندا.
Q_0177,Geo Explorer,Audio,AUD_027,النشيد الوطني لأي دولة يعزف هنا؟,السويد,الدنمارك,فنلندا,النرويج,1,الصوت يمثل النشيد الوطني للسويد.
Q_0178,Geo Explorer,Audio,AUD_028,إلى أي دولة ينتمي هذا النشيد الوطني؟,سويسرا,ألمانيا,ليختنشتاين,النمسا,1,يمثل الصوت النشيد الوطني لسويسرا.
Q_0179,Geo Explorer,Audio,AUD_029,هذا النشيد الوطني ينتمي لأي دولة؟,نيوزيلندا,فيجي,أستراليا,ساموا,1,يمثل الصوت النشيد الوطني لنيوزيلندا.
Q_0180,Geo Explorer,Audio,AUD_030,النشيد الوطني لأي دولة يعزف هنا؟,البرازيل,البرتغال,فرنسا,إسبانيا,2,يمثل الصوت النشيد الوطني للبرتغال.
Q_0181,Who's That,Text,WT_01,من أسس مايكروسوفت؟,بيل جيتس,ايلون ماسك,مارك زوكربيرج,ستيف جوبز,1,شارك بيل جيتس في تأسيس شركة مايكروسوفت.
Q_0182,Who's That,Text,WT_02,من رسم الموناليزا؟,دافنشي,رامبرانت,فان جوخ,بيكاسو,1,لقد رسمها ليوناردو دافنشي.
Q_0183,Who's That,Text,WT_03,من الملقب بملك البوب؟,إلفيس بريسلي,ايمينيم,مايكل جاكسون,الأمير,3,مايكل جاكسون هو ملك البوب.
Q_0184,Who's That,Text,WT_04,من هو الملقب برجل الهند الحديدي؟,نهرو,غاندي,بوس,باتيل,4,سردار فالابهبهاي باتيل هو الرجل الحديدي في الهند.
Q_0185,Who's That,Text,WT_05,من كتب هاري بوتر؟,لويس,رولينج,تولكين,مارتن,2,ج.ك. كتبت رولينج هاري بوتر.
Q_0186,Who's That,Text,WT_06,من اخترع المصباح الكهربائي؟,تسلا,اديسون,أينشتاين,نيوتن,2,توماس اديسون اخترع المصباح.
Q_0187,Who's That,Text,WT_07,من اكتشف الجاذبية؟,نيوتن,أينشتاين,جاليليو,داروين,1,اكتشف إسحاق نيوتن الجاذبية.
Q_0188,Who's That,Text,WT_08,من هو مؤسس الفيسبوك؟,مارك زوكربيرج,ستيف جوبز,ايلون ماسك,بيل جيتس,1,أسس مارك زوكربيرج الفيسبوك.
Q_0189,Who's That,Text,WT_09,من كتب روميو وجولييت؟,شكسبير,أوستن,توين,Dickens,1,كتب ويليام شكسبير روميو وجولييت.
Q_0190,Who's That,Text,WT_10,من ساعد راما في بناء الجسر إلى لانكا؟,هانومان,فيبهيشانا,نالا,سوجريفا,3,ساعدت نالا في بناء الجسر المؤدي إلى لانكا.
Q_0191,Who's That,Text,WT_11,من هو الرئيس التنفيذي لشركة تسلا؟,بيزوس,زوكربيرج,غيتس,المسك,4,إيلون ماسك هو الرئيس التنفيذي لشركة تسلا.
Q_0192,Who's That,Text,WT_12,من هو أول إنسان مشى على القمر؟,مايكل كولينز,يوري جاجارين,باز ألدرين,نيل ارمسترونج,4,مشى نيل أرمسترونج أولًا على سطح القمر.
Q_0193,Who's That,Text,WT_13,من هو مؤلف رواية الهوبيت؟,تولكين,رولينج,لويس,مارتن,1,جي آر آر. تولكين كتب الهوبيت.
Q_0194,Who's That,Text,WT_14,من هو الملقب برجل الصواريخ الهندي؟,فيكرام سارابهاي,APJ عبد الكلام,رامان,أمبيدكار,2,دكتور أ.ب.ج. حصل عبد الكلام على اللقب.
Q_0195,Who's That,Text,WT_15,من أسس شركة أبل؟,غيتس,المسك,صفحة,وظائف,4,ستيف جوبز شارك في تأسيس شركة أبل.
Q_0196,Who's That,Text,WT_16,من اكتشف البنسلين؟,باستور,نيوتن,كوري,فليمينغ,4,اكتشف ألكسندر فليمنج البنسلين.
Q_0197,Who's That,Text,WT_17,من هو الملقب بأبي الكمبيوتر؟,بيل جيتس,ستيف جوبز,Alan Turing,تشارلز باباج,4,يُعرف تشارلز باباج بأنه أبو الكمبيوتر.
Q_0198,Who's That,Text,WT_18,من اكتشف أمريكا؟,كولومبوس,يطبخ,فاسكو دا جاما,ماجلان,1,اكتشف كريستوفر كولومبوس أمريكا.
Q_0199,Who's That,Text,WT_19,من أسس أمازون؟,زوكربيرج,غيتس,بيزوس,المسك,3,أسس جيف بيزوس شركة أمازون.
Q_0200,Who's That,Text,WT_20,من هو الملقب بشاعر أفون؟,شكسبير,وردزورث,ميلتون,تشوسر,1,ويطلق على ويليام شكسبير لقب شاعر أفون.
Q_0201,Who's That,Text,WT_21,من هي أول امرأة في الفضاء؟,فالنتينا تيريشكوفا,كالبانا تشاولا,سالي رايد,سونيتا ويليامز,1,كانت فالنتينا تيريشكوفا أول امرأة تصعد إلى الفضاء.
Q_0202,Who's That,Text,WT_22,من الذي رسم سقف كنيسة سيستينا؟,رافائيل,دوناتيلو,دافنشي,مايكل أنجلو,4,رسم مايكل أنجلو سقف كنيسة سيستين.
Q_0203,Who's That,Text,WT_23,من أسس شركة سبيس إكس؟,صفحة,بيزوس,المسك,برانسون,3,أسس إيلون ماسك شركة SpaceX.
Q_0204,Who's That,Text,WT_24,"من كتب ""الحارس في حقل الشوفان""؟",سالينجر,فيتزجيرالد,همنغواي,أورويل,1,كتب جي دي سالينجر رواية الحارس في حقل الشوفان.
Q_0205,Who's That,Text,WT_25,من كان أول رئيس للولايات المتحدة؟,واشنطن,آدامز,جيفرسون,لينكولن,1,كان جورج واشنطن أول رئيس للولايات المتحدة.
Q_0206,Who's That,Text,WT_26,من هو المعروف باسم السيخ الطائر؟,ميلكا سينغ,نيراج شوبرا,ابهيناف بيندرا,بي.تي. أوشا,1,كان ميلكا سينغ معروفًا باسم السيخ الطائر.
Q_0207,Who's That,Text,WT_27,من قام بتأليف السيمفونية رقم 5؟,باخ,شوبان,موزارت,بيتهوفن,4,قام بيتهوفن بتأليف السيمفونية رقم 5.
Q_0208,Who's That,Text,WT_28,من اخترع الهاتف؟,جرس,اديسون,ماركوني,تسلا,1,اخترع ألكسندر جراهام بيل الهاتف.
Q_0209,Who's That,Text,WT_29,من كان سائق عربة أرجونا خلال حرب كوروكشترا؟,بهشما,كارنا,درونا,كريشنا,4,كان اللورد كريشنا هو سائق عربة أرجونا.
Q_0210,Who's That,Text,WT_30,من هي أول امرأة حصلت على جائزة نوبل؟,هيرشل,كوري,مايتنر,جوبرت ماير,2,وكانت ماري كوري أول امرأة حائزة على جائزة نوبل.
Q_0211,Who's That,Image,IMG_061,من يظهر في الصورة؟,مبابي,ميسي,رونالدو,نيمار,2,هذا هو ليونيل ميسي.
Q_0212,Who's That,Image,IMG_062,من هي هذه الشخصية الخيالية؟,الرجل العنكبوت,باتمان,الرجل الحديدي,سوبرمان,1,هذا هو الرجل العنكبوت.
Q_0213,Who's That,Image,IMG_063,من يظهر؟,أميتاب باتشان,عامر خان,راجيش خانا,سلمان خان,1,هذا أميتاب باتشان.
Q_0214,Who's That,Image,IMG_064,من هي هذه الشخصية الخيالية؟,رون ويزلي,هاري بوتر,فرودو,بيرسي جاكسون,2,هذا هو هاري بوتر.
Q_0215,Who's That,Image,IMG_065,من يظهر؟,ويليامز,أوساكا,شارابوفا,هاليب,1,هذه سيرينا ويليامز.
Q_0216,Who's That,Image,IMG_066,من هي هذه الشخصية الخيالية؟,يودا,دارث فيدر,كيلو رن,لوك سكاي ووكر,2,هذا هو دارث فيدر.
Q_0217,Who's That,Image,IMG_067,من يظهر؟,المسك,بيزوس,يطبخ,غيتس,1,هذا هو إيلون ماسك.
Q_0218,Who's That,Image,IMG_068,من هي هذه الشخصية الخيالية؟,سوبرمان,فلاش,مهرج,باتمان,4,هذا هو باتمان.
Q_0219,Who's That,Image,IMG_069,من يظهر؟,عدني,بيرلا,أمباني,راتان تاتا,4,هذا هو راتان تاتا.
Q_0220,Who's That,Image,IMG_070,من هي هذه الشخصية الخيالية؟,جوكو,فيجيتا,لوفي,ناروتو,1,هذا هو جوكو.
Q_0221,Who's That,Image,IMG_071,من يظهر؟,بيونسيه,ريهانا,سويفت,أديل,3,هذا هو تايلور سويفت.
Q_0222,Who's That,Image,IMG_072,من هي هذه الشخصية الخيالية؟,رابطة,بوارو,واتسون,هولمز,4,هذا هو شيرلوك هولمز.
Q_0223,Who's That,Image,IMG_073,من يظهر؟,درافيد,ساشين,دوني,كوهلي,2,هذا هو ساشين تيندولكار.
Q_0224,Who's That,Image,IMG_074,من هي هذه الشخصية الخيالية؟,هوميروس,ستيوي,بارت,بيتر جريفين,1,هذا هو هومر سيمبسون.
Q_0225,Who's That,Image,IMG_075,من يظهر؟,إلين,وينفري,غاغا,سويفت,2,هذه أوبرا وينفري.
Q_0226,Who's That,Image,IMG_076,من هي هذه الشخصية الخيالية؟,كابتن أمريكا,الهيكل,الرجل الحديدي,ثور,1,هذا هو كابتن أمريكا.
Q_0227,Who's That,Image,IMG_077,من يظهر؟,يوغي أديتياناث,أميت شاه,ناريندرا مودي,راهول غاندي,3,هذا ناريندرا مودي.
Q_0228,Who's That,Image,IMG_078,من هي هذه الشخصية الخيالية؟,ميكي,دونالد,توم,أبله,1,هذا هو ميكي ماوس.
Q_0229,Who's That,Image,IMG_079,من يظهر؟,هانكس,دي كابريو,رحلة بحرية,بيت,2,هذا هو ليوناردو دي كابريو.
Q_0230,Who's That,Image,IMG_080,من هي هذه الشخصية الخيالية؟,مهرج,البطريق,اللغز,باتمان,1,هذا هو الجوكر.
Q_0231,Who's That,Image,IMG_081,من يظهر؟,مايتنر,فرانكلين,كوري,جودال,3,هذه ماري كوري.
Q_0232,Who's That,Image,IMG_082,من هي هذه الشخصية الخيالية؟,رابونزيل,موانا,إلسا,آنا,3,هذه إلسا.
Q_0233,Who's That,Image,IMG_083,من يظهر؟,الأردن,كوبي,ليبرون,كاري,1,هذا هو مايكل جوردان.
Q_0234,Who's That,Image,IMG_084,من هي هذه الشخصية الخيالية؟,رؤية,الرجل الحديدي,ثور,الهيكل,2,هذا هو الرجل الحديدي.
Q_0235,Who's That,Image,IMG_085,من يظهر؟,بور,أينشتاين,فاينمان,تسلا,2,هذا هو ألبرت أينشتاين.
Q_0236,Who's That,Image,IMG_086,من هي هذه الشخصية الخيالية؟,بيكاتشو,سكويرتل,شارماندر,بلباسور,1,هذا هو بيكاتشو.
Q_0237,Who's That,Image,IMG_087,من يظهر؟,بولت,جاتلين,لويس,بليك,1,هذا هو يوسين بولت.
Q_0238,Who's That,Image,IMG_088,من هي هذه الشخصية الخيالية؟,ماريو,كيربي,لويجي,سونيك,1,هذا هو ماريو.
Q_0239,Who's That,Image,IMG_089,من يظهر؟,وظائف,زوكربيرج,غيتس,بيزوس,3,هذا هو بيل جيتس.
Q_0240,Who's That,Image,IMG_090,من هي هذه الشخصية الخيالية؟,عبقور,بوكيمون,شينشان,نوبيتا,1,هذا هو عبقور.
Q_0241,Who's That,Video,VID_031,من يظهر في مقطع الفيديو هذا؟,مارك زوكربيرج,جيف بيزوس,بيل جيتس,ايلون ماسك,4,الشخص الموضح هو إيلون ماسك.
Q_0242,Who's That,Video,VID_032,من يظهر في مقطع الفيديو هذا؟,ام اس دوني,ساشين تيندولكار,فيرات كوهلي,روهيت شارما,3,الشخص الموضح هو فيرات كوهلي.
Q_0243,Who's That,Video,VID_033,من يظهر في مقطع الفيديو هذا؟,فيريندر سيهواج,راهول درافيد,ام اس دوني,كابيل ديف,3,الشخص الموضح هو MS Dhoni.
Q_0244,Who's That,Video,VID_034,من يظهر في مقطع الفيديو هذا؟,توم كروز,جوني ديب,براد بيت,ليوناردو دي كابريو,4,الشخص الموضح هو ليوناردو دي كابريو.
Q_0245,Who's That,Video,VID_035,من يظهر في مقطع الفيديو هذا؟,آن هاثاواي,إيما ستون,سكارليت جوهانسون,جنيفر لورانس,3,الشخص الموضح هو سكارليت جوهانسون.
Q_0246,Who's That,Video,VID_036,من يظهر في مقطع الفيديو هذا؟,نيمار,كريستيانو رونالدو,ليونيل ميسي,مبابي,2,الشخص الموضح هو كريستيانو رونالدو.
Q_0247,Who's That,Video,VID_037,من يظهر في مقطع الفيديو هذا؟,رونالدينيو,ليونيل ميسي,تشافي,مارادونا,2,الشخص الموضح هو ليونيل ميسي.
Q_0248,Who's That,Video,VID_038,من يظهر في مقطع الفيديو هذا؟,Ben Affleck,براد بيت,توم كروز,مات ديمون,3,الشخص الذي يظهر هو توم كروز.
Q_0249,Who's That,Video,VID_039,من يظهر في مقطع الفيديو هذا؟,مارك روفالو,كريس هيمسوورث,روبرت داوني جونيور,كريس إيفانز,3,الشخص الموضح هو روبرت داوني جونيور.
Q_0250,Who's That,Video,VID_040,من يظهر في مقطع الفيديو هذا؟,عامر خان,هريثيك روشان,سلمان خان,شاه روخ خان,4,الشخص الذي يظهر هو شاروخان.
Q_0251,Who's That,Video,VID_041,من يظهر في مقطع الفيديو هذا؟,سلمان خان,عامر خان,أكشاي كومار,شاه روخ خان,1,الشخص الموضح هو سلمان خان.
Q_0252,Who's That,Video,VID_042,من يظهر في مقطع الفيديو هذا؟,دارميندرا,راجيش خانا,ريشي كابور,أميتاب باتشان,4,الشخص الموضح هو أميتاب باتشان.
Q_0253,Who's That,Video,VID_043,من يظهر في مقطع الفيديو هذا؟,ناريندرا مودي,أميت شاه,راهول غاندي,مانموهان سينغ,1,الشخص الموضح هو ناريندرا مودي.
Q_0254,Who's That,Video,VID_044,من يظهر في مقطع الفيديو هذا؟,جورج بوش,بيل كلينتون,باراك أوباما,جو بايدن,3,الشخص الموضح هو باراك أوباما.
Q_0255,Who's That,Video,VID_045,من يظهر في مقطع الفيديو هذا؟,تيم كوك,ستيف وزنياك,بيل جيتس,ستيف جوبز,4,الشخص الموضح هو ستيف جوبز.
Q_0256,Who's That,Video,VID_046,من يظهر في مقطع الفيديو هذا؟,بيل جيتس,ايلون ماسك,مارك زوكربيرج,جيف بيزوس,1,الشخص الموضح هو بيل جيتس.
Q_0257,Who's That,Video,VID_047,من يظهر في مقطع الفيديو هذا؟,لاري بيج,جاك دورسي,سيرجي برين,مارك زوكربيرج,4,الشخص الموضح هو مارك زوكربيرج.
Q_0258,Who's That,Video,VID_048,من يظهر في مقطع الفيديو هذا؟,وارن بافيت,بيل جيتس,جيف بيزوس,ايلون ماسك,3,الشخص الموضح هو جيف بيزوس.
Q_0259,Who's That,Video,VID_049,من يظهر في مقطع الفيديو هذا؟,فينوس ويليامز,سيمونا هاليب,سيرينا ويليامز,نعومي أوساكا,3,الشخص الموضح هو سيرينا ويليامز.
Q_0260,Who's That,Video,VID_050,من يظهر في مقطع الفيديو هذا؟,ليبرون جيمس,كوبي براينت,شاكيل اونيل,مايكل جوردان,4,الشخص الموضح هو مايكل جوردان.
Q_0261,Who's That,Video,VID_051,من يظهر في مقطع الفيديو هذا؟,رافائيل نادال,روجر فيدرر,آندي موراي,نوفاك ديوكوفيتش,2,الشخص الموضح هو روجر فيدرر.
Q_0262,Who's That,Video,VID_052,من يظهر في مقطع الفيديو هذا؟,يوهان بليك,جاستن جاتلين,تايسون جاي,يوسين بولت,4,الشخص الموضح هو يوسين بولت.
Q_0263,Who's That,Video,VID_053,من يظهر في مقطع الفيديو هذا؟,آندي موراي,رافائيل نادال,نوفاك ديوكوفيتش,روجر فيدرر,2,الشخص الموضح هو رافائيل نادال.
Q_0264,Who's That,Video,VID_054,من يظهر في مقطع الفيديو هذا؟,داستن جونسون,تايجر وودز,روري ماكلروي,فيل ميكلسون,2,الشخص الموضح هو تايجر وودز.
Q_0265,Who's That,Video,VID_055,من يظهر في مقطع الفيديو هذا؟,أريانا غراندي,كاتي بيري,تايلور سويفت,سيلينا جوميز,3,الشخص الموضح هو تايلور سويفت.
Q_0266,Who's That,Video,VID_056,من يظهر في مقطع الفيديو هذا؟,إيما ستون,إيما واتسون,آن هاثاواي,Natalie Portman,2,الشخص الموضح هو إيما واتسون.
Q_0267,Who's That,Video,VID_057,من يظهر في مقطع الفيديو هذا؟,كريس إيفانز,كريس برات,ريان رينولدز,كريس هيمسوورث,4,الشخص الموضح هو كريس هيمسوورث.
Q_0268,Who's That,Video,VID_058,من يظهر في مقطع الفيديو هذا؟,توم كروز,جوني ديب,براد بيت,كيانو ريفز,4,الشخص الموضح هو كيانو ريفز.
Q_0269,Who's That,Video,VID_059,من يظهر في مقطع الفيديو هذا؟,ويل سميث,دينزل واشنطن,جيمي فوكس,إدي ميرفي,1,الشخص الموضح هو ويل سميث.
Q_0270,Who's That,Video,VID_060,من يظهر في مقطع الفيديو هذا؟,ديف باتيستا,دواين جونسون,جون سينا,الصخرة,2,الشخص الموضح هو دواين جونسون.
Q_0271,Brain Sprint,Text,SQ_01,ما هو 15 + 27؟,42,نان,نان,نان,1,الجمع: 15 + 27 = 42.
Q_0272,Brain Sprint,Text,SQ_02,ما هو 12 مضروبا في 8؟,96,نان,نان,نان,1,الضرب: 12 * 8 = 96.
Q_0273,Brain Sprint,Text,SQ_03,كم دقيقة هناك في 2.5 ساعة؟,150,نان,نان,نان,1,ساعتان = 120 دقيقة، 0.5 ساعة = 30 دقيقة. المجموع 150.
Q_0274,Brain Sprint,Text,SQ_04,ما هو الرقم التالي في المتتابعة: 2، 4، 8، 16، ...؟,32,نان,نان,نان,1,يتضاعف التسلسل في كل مرة.
Q_0275,Brain Sprint,Text,SQ_05,ما هو 150 مقسوما على 6؟,25,نان,نان,نان,1,القسمة: 150 / 6 = 25.
Q_0276,Brain Sprint,Text,SQ_06,كم عدد الجوانب التي يمتلكها المضلع السباعي العادي؟,7,نان,نان,نان,1,الشكل السباعي له 7 جوانب.
Q_0277,Brain Sprint,Text,SQ_07,ما هو 9 تربيع؟,81,نان,نان,نان,1,9 * 9 = 81.
Q_0278,Brain Sprint,Text,SQ_08,كم عدد اللاعبين في فريق كرة القدم على أرض الملعب في وقت واحد؟,11,نان,نان,نان,1,كل فريق لديه 11 لاعبا.
Q_0279,Brain Sprint,Text,SQ_09,ما هو مجموع زوايا المثلث (بالدرجات)؟,180,نان,نان,نان,1,مجموع قياسات الزوايا الداخلية للمثلث دائمًا هو 180 درجة.
Q_0280,Brain Sprint,Text,SQ_10,What is 100 minus 37?,63,نان,نان,نان,1,الطرح: 100 - 37 = 63.
Q_0281,Brain Sprint,Text,SQ_11,كم عدد الولايات الموجودة في الولايات المتحدة؟,50,نان,نان,نان,1,الولايات المتحدة الأمريكية لديها 50 ولاية.
Q_0282,Brain Sprint,Text,SQ_12,ما هو الجذر التربيعي لـ 144؟,12,نان,نان,نان,1,12 * 12 = 144.
Q_0283,Brain Sprint,Text,SQ_13,كم عدد الأيام الموجودة في السنة الكبيسة؟,366,نان,نان,نان,1,السنة الكبيسة تحتوي على 366 يوما.
Q_0284,Brain Sprint,Text,SQ_14,ما هو 7 مضروبا في 13؟,91,نان,نان,نان,1,7 * 13 = 91.
Q_0285,Brain Sprint,Text,SQ_15,كم عدد الأوتار التي يمتلكها الجيتار القياسي؟,6,نان,نان,نان,1,يحتوي الجيتار القياسي على 6 أوتار.
Q_0286,Brain Sprint,Text,SQ_16,ما هو الرقم التالي في المتتابعة: 1، 4، 9، 16، ...؟,25,نان,نان,نان,1,يتبع التسلسل الأرقام المربعة: 1^2، 2^2، 3^2، 4^2، 5^2.
Q_0287,Brain Sprint,Text,SQ_17,كم عدد العظام الموجودة في جسم الإنسان البالغ؟,206,نان,نان,نان,1,الإنسان البالغ لديه 206 عظمة.
Q_0288,Brain Sprint,Text,SQ_18,ما هو 20٪ من 150؟,30,نان,نان,نان,1,0.20 * 150 = 30.
Q_0289,Brain Sprint,Text,SQ_19,كم عدد الأصفار الموجودة في المليون؟,6,نان,نان,نان,1,"1,000,000 لديه ستة أصفار."
Q_0290,Brain Sprint,Text,SQ_20,ما هو 11 ضرب 11؟,121,نان,نان,نان,1,11 * 11 = 121.
Q_0291,Brain Sprint,Text,SQ_21,كم سنة في القرن؟,100,نان,نان,نان,1,القرن يتكون من 100 سنة.
Q_0292,Brain Sprint,Text,SQ_22,ما هو 250 مقسوما على 5؟,50,نان,نان,نان,1,250 / 5 = 50.
Q_0293,Brain Sprint,Text,SQ_23,كم عدد القارات الموجودة على الأرض؟,7,نان,نان,نان,1,هناك 7 قارات.
Q_0294,Brain Sprint,Text,SQ_24,ما ناتج (10 + 5) مضروبًا في 3؟,45,نان,نان,نان,1,15 * 3 = 45.
Q_0295,Brain Sprint,Text,SQ_25,كم عدد الساعات الموجودة في 3 أيام؟,72,نان,نان,نان,1,3 * 24 = 72.
Q_0296,Brain Sprint,Text,SQ_26,ما هي درجة غليان الماء في مئوية؟,100,نان,نان,نان,1,يغلي الماء عند 100 درجة مئوية.
Q_0297,Brain Sprint,Text,SQ_27,كم عدد الجوانب التي يمتلكها الشكل السداسي؟,6,نان,نان,نان,1,الشكل السداسي له 6 جوانب.
Q_0298,Brain Sprint,Text,SQ_28,ما هو 500 ناقص 125؟,375,نان,نان,نان,1,500 - 125 = 375.
Q_0299,Brain Sprint,Text,SQ_29,كم ثانية في 5 دقائق؟,300,نان,نان,نان,1,5 * 60 = 300.
Q_0300,Brain Sprint,Text,SQ_30,ما هو 8 ضرب 9؟,72,نان,نان,نان,1,8 * 9 = 72.
