QuestionID,Category,QuestionType,FolderName,Question,Option1,Option2,Option3,Option4,CorrectIndex,Explanation
Q_0200,Who's That,Text,WT_20,Who is known as the Bard of Avon?,Shakespeare,Wordsworth,Milton,Chaucer,1,William Shakespeare is called the Bard of Avon.
Q_0201,Who's That,Text,WT_21,Who was the first woman in space?,Valentina Tereshkova,Kalpana Chawla,Sally Ride,Sunita Williams,1,Valentina Tereshkova was the first woman in space.
Q_0202,Who's That,Text,WT_22,Who painted the Sistine Chapel ceiling?,Raphael,Donatello,Da Vinci,Michelangelo,4,Michelangelo painted the Sistine Chapel ceiling.
Q_0203,Who's That,Text,WT_23,Who founded SpaceX?,Page,Bezos,Musk,Branson,3,Elon Musk founded SpaceX.
Q_0204,Who's That,Text,WT_24,Who wrote The Catcher in the Rye?,Salinger,Fitzgerald,Hemingway,Orwell,1,J.D. Salinger wrote The Catcher in the Rye.
Q_0205,Who's That,Text,WT_25,Who was the first President of the United States?,Washington,Adams,Jefferson,Lincoln,1,George Washington was the first U.S. President.
Q_0206,Who's That,Text,WT_26,Who is known as the Flying Sikh?,Milkha Singh,Neeraj Chopra,Abhinav Bindra,P.T. Usha,1,Milkha Singh was known as the Flying Sikh.
Q_0207,Who's That,Text,WT_27,Who composed Symphony No. 5?,Bach,Chopin,Mozart,Beethoven,4,Beethoven composed Symphony No. 5.
Q_0208,Who's That,Text,WT_28,Who invented the telephone?,Bell,Edison,Marconi,Tesla,1,Alexander Graham Bell invented the telephone.
Q_0209,Who's That,Text,WT_29,Who was the charioteer of Arjuna during the Kurukshetra war?,Bhishma,Karna,Drona,Krishna,4,Lord Krishna was Arjuna’s charioteer.
Q_0210,Who's That,Text,WT_30,Who was the first woman to win a Nobel Prize?,Herschel,Curie,Meitner,Goeppert-Mayer,2,Marie Curie was the first woman Nobel laureate.
Q_0211,Who's That,Image,IMG_061,Who is shown in the image?,Mbappe,Messi,Ronaldo,Neymar,2,This is Lionel Messi.
Q_0212,Who's That,Image,IMG_062,Who is this fictional character?,Spider-Man,Batman,Iron Man,Superman,1,This is Spider-Man.
Q_0213,Who's That,Image,IMG_063,Who is shown?,Amitabh Bachchan,Aamir Khan,Rajesh Khanna,Salman Khan,1,This is Amitabh Bachchan.
Q_0214,Who's That,Image,IMG_064,Who is this fictional character?,Ron Weasley,Harry Potter,Frodo,Percy Jackson,2,This is Harry Potter.
Q_0215,Who's That,Image,IMG_065,Who is shown?,Williams,Osaka,Sharapova,Halep,1,This is Serena Williams.
Q_0216,Who's That,Image,IMG_066,Who is this fictional character?,Yoda,Darth Vader,Kylo Ren,Luke Skywalker,2,This is Darth Vader.
Q_0217,Who's That,Image,IMG_067,Who is shown?,Musk,Bezos,Cook,Gates,1,This is Elon Musk.
Q_0218,Who's That,Image,IMG_068,Who is this fictional character?,Superman,Flash,Joker,Batman,4,This is Batman.
Q_0219,Who's That,Image,IMG_069,Who is shown?,Adani,Birla,Ambani,Ratan Tata,4,This is Ratan Tata.
Q_0220,Who's That,Image,IMG_070,Who is this fictional character?,Goku,Vegeta,Luffy,Naruto,1,This is Goku.
Q_0221,Who's That,Image,IMG_071,Who is shown?,Beyonce,Rihanna,Swift,Adele,3,This is Taylor Swift.
Q_0222,Who's That,Image,IMG_072,Who is this fictional character?,Bond,Poirot,Watson,Holmes,4,This is Sherlock Holmes.
Q_0223,Who's That,Image,IMG_073,Who is shown?,Dravid,Sachin,Dhoni,Kohli,2,This is Sachin Tendulkar.
Q_0224,Who's That,Image,IMG_074,Who is this fictional character?,Homer,Stewie,Bart,Peter Griffin,1,This is Homer Simpson.
Q_0225,Who's That,Image,IMG_075,Who is shown?,Ellen,Winfrey,Gaga,Swift,2,This is Oprah Winfrey.
Q_0226,Who's That,Image,IMG_076,Who is this fictional character?,Captain America,Hulk,Iron Man,Thor,1,This is Captain America.
Q_0227,Who's That,Image,IMG_077,Who is shown?,Yogi Adityanath,Amit Shah,Narendra Modi,Rahul Gandhi,3,This is Narendra Modi.
Q_0228,Who's That,Image,IMG_078,Who is this fictional character?,Mickey,Donald,Tom,Goofy,1,This is Mickey Mouse.
Q_0229,Who's That,Image,IMG_079,Who is shown?,Hanks,DiCaprio,Cruise,Pitt,2,This is Leonardo DiCaprio.
Q_0230,Who's That,Image,IMG_080,Who is this fictional character?,Joker,Penguin,Riddler,Batman,1,This is the Joker.
Q_0231,Who's That,Image,IMG_081,Who is shown?,Meitner,Franklin,Curie,Goodall,3,This is Marie Curie.
Q_0232,Who's That,Image,IMG_082,Who is this fictional character?,Rapunzel,Moana,Elsa,Anna,3,This is Elsa.
Q_0233,Who's That,Image,IMG_083,Who is shown?,Jordan,Kobe,LeBron,Curry,1,This is Michael Jordan.
Q_0234,Who's That,Image,IMG_084,Who is this fictional character?,Vision,Iron Man,Thor,Hulk,2,This is Iron Man.
Q_0235,Who's That,Image,IMG_085,Who is shown?,Bohr,Einstein,Feynman,Tesla,2,This is Albert Einstein.
Q_0236,Who's That,Image,IMG_086,Who is this fictional character?,Pikachu,Squirtle,Charmander,Bulbasaur,1,This is Pikachu.
Q_0237,Who's That,Image,IMG_087,Who is shown?,Bolt,Gatlin,Lewis,Blake,1,This is Usain Bolt.
Q_0238,Who's That,Image,IMG_088,Who is this fictional character?,Mario,Kirby,Luigi,Sonic,1,This is Mario.
Q_0239,Who's That,Image,IMG_089,Who is shown?,Jobs,Zuckerberg,Gates,Bezos,3,This is Bill Gates.
Q_0240,Who's That,Image,IMG_090,Who is this fictional character?,Doraemon,Pokemon,Shinchan,Nobita,1,This is Doraemon.
Q_0241,Who's That,Video,VID_031,Who is shown in this video clip?,Mark Zuckerberg,Jeff Bezos,Bill Gates,Elon Musk,4,The person shown is Elon Musk.
Q_0242,Who's That,Video,VID_032,Who is shown in this video clip?,MS Dhoni,Sachin Tendulkar,Virat Kohli,Rohit Sharma,3,The person shown is Virat Kohli.
Q_0243,Who's That,Video,VID_033,Who is shown in this video clip?,Virender Sehwag,Rahul Dravid,MS Dhoni,Kapil Dev,3,The person shown is MS Dhoni.
Q_0244,Who's That,Video,VID_034,Who is shown in this video clip?,Tom Cruise,Johnny Depp,Brad Pitt,Leonardo DiCaprio,4,The person shown is Leonardo DiCaprio.
Q_0245,Who's That,Video,VID_035,Who is shown in this video clip?,Anne Hathaway,Emma Stone,Scarlett Johansson,Jennifer Lawrence,3,The person shown is Scarlett Johansson.
Q_0246,Who's That,Video,VID_036,Who is shown in this video clip?,Neymar,Cristiano Ronaldo,Lionel Messi,Mbappe,2,The person shown is Cristiano Ronaldo.
Q_0247,Who's That,Video,VID_037,Who is shown in this video clip?,Ronaldinho,Lionel Messi,Xavi,Maradona,2,The person shown is Lionel Messi.
Q_0248,Who's That,Video,VID_038,Who is shown in this video clip?,Ben Affleck,Brad Pitt,Tom Cruise,Matt Damon,3,The person shown is Tom Cruise.
Q_0249,Who's That,Video,VID_039,Who is shown in this video clip?,Mark Ruffalo,Chris Hemsworth,Robert Downey Jr,Chris Evans,3,The person shown is Robert Downey Jr.
Q_0250,Who's That,Video,VID_040,Who is shown in this video clip?,Aamir Khan,Hrithik Roshan,Salman Khan,Shah Rukh Khan,4,The person shown is Shah Rukh Khan.
Q_0251,Who's That,Video,VID_041,Who is shown in this video clip?,Salman Khan,Aamir Khan,Akshay Kumar,Shah Rukh Khan,1,The person shown is Salman Khan.
Q_0252,Who's That,Video,VID_042,Who is shown in this video clip?,Dharmendra,Rajesh Khanna,Rishi Kapoor,Amitabh Bachchan,4,The person shown is Amitabh Bachchan.
Q_0253,Who's That,Video,VID_043,Who is shown in this video clip?,Narendra Modi,Amit Shah,Rahul Gandhi,Manmohan Singh,1,The person shown is Narendra Modi.
Q_0254,Who's That,Video,VID_044,Who is shown in this video clip?,George Bush,Bill Clinton,Barack Obama,Joe Biden,3,The person shown is Barack Obama.
Q_0255,Who's That,Video,VID_045,Who is shown in this video clip?,Tim Cook,Steve Wozniak,Bill Gates,Steve Jobs,4,The person shown is Steve Jobs.
Q_0256,Who's That,Video,VID_046,Who is shown in this video clip?,Bill Gates,Elon Musk,Mark Zuckerberg,Jeff Bezos,1,The person shown is Bill Gates.
Q_0257,Who's That,Video,VID_047,Who is shown in this video clip?,Larry Page,Jack Dorsey,Sergey Brin,Mark Zuckerberg,4,The person shown is Mark Zuckerberg.
Q_0258,Who's That,Video,VID_048,Who is shown in this video clip?,Warren Buffett,Bill Gates,Jeff Bezos,Elon Musk,3,The person shown is Jeff Bezos.
Q_0259,Who's That,Video,VID_049,Who is shown in this video clip?,Venus Williams,Simona Halep,Serena Williams,Naomi Osaka,3,The person shown is Serena Williams.
Q_0260,Who's That,Video,VID_050,Who is shown in this video clip?,LeBron James,Kobe Bryant,Shaquille O'Neal,Michael Jordan,4,The person shown is Michael Jordan.
Q_0261,Who's That,Video,VID_051,Who is shown in this video clip?,Rafael Nadal,Roger Federer,Andy Murray,Novak Djokovic,2,The person shown is Roger Federer.
Q_0262,Who's That,Video,VID_052,Who is shown in this video clip?,Yohan Blake,Justin Gatlin,Tyson Gay,Usain Bolt,4,The person shown is Usain Bolt.
Q_0263,Who's That,Video,VID_053,Who is shown in this video clip?,Andy Murray,Rafael Nadal,Novak Djokovic,Roger Federer,2,The person shown is Rafael Nadal.
Q_0264,Who's That,Video,VID_054,Who is shown in this video clip?,Dustin Johnson,Tiger Woods,Rory McIlroy,Phil Mickelson,2,The person shown is Tiger Woods.
Q_0265,Who's That,Video,VID_055,Who is shown in this video clip?,Ariana Grande,Katy Perry,Taylor Swift,Selena Gomez,3,The person shown is Taylor Swift.
Q_0266,Who's That,Video,VID_056,Who is shown in this video clip?,Emma Stone,Emma Watson,Anne Hathaway,Natalie Portman,2,The person shown is Emma Watson.
Q_0267,Who's That,Video,VID_057,Who is shown in this video clip?,Chris Evans,Chris Pratt,Ryan Reynolds,Chris Hemsworth,4,The person shown is Chris Hemsworth.
Q_0268,Who's That,Video,VID_058,Who is shown in this video clip?,Tom Cruise,Johnny Depp,Brad Pitt,Keanu Reeves,4,The person shown is Keanu Reeves.
Q_0269,Who's That,Video,VID_059,Who is shown in this video clip?,Will Smith,Denzel Washington,Jamie Foxx,Eddie Murphy,1,The person shown is Will Smith.
Q_0270,Who's That,Video,VID_060,Who is shown in this video clip?,Dave Bautista,Dwayne Johnson,John Cena,The Rock,2,The person shown is Dwayne Johnson.
Q_0271,Brain Sprint,Text,SQ_01,What is 15 + 27?,42,,,,1,Addition: 15 + 27 = 42.
Q_0272,Brain Sprint,Text,SQ_02,What is 12 multiplied by 8?,96,,,,1,Multiplication: 12 * 8 = 96.
Q_0273,Brain Sprint,Text,SQ_03,How many minutes are there in 2.5 hours?,150,,,,1,"2 hours = 120 mins, 0.5 hours = 30 mins. Total 150."
Q_0274,Brain Sprint,Text,SQ_04,"What is the next number in the sequence: 2, 4, 8, 16, ...?",32,,,,1,The sequence doubles each time.
Q_0275,Brain Sprint,Text,SQ_05,What is 150 divided by 6?,25,,,,1,Division: 150 / 6 = 25.
Q_0276,Brain Sprint,Text,SQ_06,How many sides does a regular heptagon have?,7,,,,1,A heptagon has 7 sides.
Q_0277,Brain Sprint,Text,SQ_07,What is 9 squared?,81,,,,1,9 * 9 = 81.
Q_0278,Brain Sprint,Text,SQ_08,How many players are on a soccer team on the field at once?,11,,,,1,Each team has 11 players.
Q_0279,Brain Sprint,Text,SQ_09,What is the sum of angles in a triangle (in degrees)?,180,,,,1,The internal angles of a triangle always sum to 180 degrees.
Q_0280,Brain Sprint,Text,SQ_10,What is 100 minus 37?,63,,,,1,Subtraction: 100 - 37 = 63.
Q_0281,Brain Sprint,Text,SQ_11,How many states are there in the United States?,50,,,,1,The USA has 50 states.
Q_0282,Brain Sprint,Text,SQ_12,What is the square root of 144?,12,,,,1,12 * 12 = 144.
Q_0283,Brain Sprint,Text,SQ_13,How many days are there in a leap year?,366,,,,1,A leap year has 366 days.
Q_0284,Brain Sprint,Text,SQ_14,What is 7 multiplied by 13?,91,,,,1,7 * 13 = 91.
Q_0285,Brain Sprint,Text,SQ_15,How many strings does a standard guitar have?,6,,,,1,A standard guitar has 6 strings.
Q_0286,Brain Sprint,Text,SQ_16,"What is the next number in the sequence: 1, 4, 9, 16, ...?",25,,,,1,"The sequence follows square numbers: 1^2, 2^2, 3^2, 4^2, 5^2."
Q_0287,Brain Sprint,Text,SQ_17,How many bones are in the adult human body?,206,,,,1,An adult human has 206 bones.
Q_0288,Brain Sprint,Text,SQ_18,What is 20% of 150?,30,,,,1,0.20 * 150 = 30.
Q_0289,Brain Sprint,Text,SQ_19,How many zeros are there in one million?,6,,,,1,"1,000,000 has six zeros."
Q_0290,Brain Sprint,Text,SQ_20,What is 11 times 11?,121,,,,1,11 * 11 = 121.
Q_0291,Brain Sprint,Text,SQ_21,How many years are in a century?,100,,,,1,A century consists of 100 years.
Q_0292,Brain Sprint,Text,SQ_22,What is 250 divided by 5?,50,,,,1,250 / 5 = 50.
Q_0293,Brain Sprint,Text,SQ_23,How many continents are there on Earth?,7,,,,1,There are 7 continents.
Q_0294,Brain Sprint,Text,SQ_24,What is (10 + 5) multiplied by 3?,45,,,,1,15 * 3 = 45.
Q_0295,Brain Sprint,Text,SQ_25,How many hours are there in 3 days?,72,,,,1,3 * 24 = 72.
Q_0296,Brain Sprint,Text,SQ_26,What is the boiling point of water in Celsius?,100,,,,1,Water boils at 100 degrees Celsius.
Q_0297,Brain Sprint,Text,SQ_27,How many sides does a hexagon have?,6,,,,1,A hexagon has 6 sides.
Q_0298,Brain Sprint,Text,SQ_28,What is 500 minus 125?,375,,,,1,500 - 125 = 375.
Q_0299,Brain Sprint,Text,SQ_29,How many seconds are in 5 minutes?,300,,,,1,5 * 60 = 300.
Q_0300,Brain Sprint,Text,SQ_30,What is 8 times 9?,72,,,,1,8 * 9 = 72.
Q_0301,TrueFalse,Text,TF_01,The Great Wall of China is visible from the Moon with the naked eye,TRUE,FALSE,,,2,"The Great Wall is long but not wide enough to be seen from the Moon without aid. Even from low Earth orbit, it�s difficult to spot with the naked eye."
Q_0302,TrueFalse,Text,TF_02,Sound travels faster in water than in air,TRUE,FALSE,,,1,"Sound waves travel faster in denser mediums. Since water is denser than air, sound moves faster through water"
Q_0303,TrueFalse,Text,TF_03,Humans use only 10% of their brain,TRUE,FALSE,,,2,Explanation: Brain imaging shows that humans use almost all parts of the brain over time. The �10%� idea is a myth
Q_0304,TrueFalse,Text,TF_04,Lightning never strikes the same place twice,TRUE,FALSE,,,2,Lightning can strike the same place multiple times. Tall structures like skyscrapers are hit repeatedly during storms
Q_0305,TrueFalse,Text,TF_05,The capital of Australia is Sydney,TRUE,FALSE,,,2,"The capital of Australia is Canberra, not Sydney or Melbourne"
Q_0306,TrueFalse,Text,TF_06,An octopus has three hearts,TRUE,FALSE,,,1,"Two hearts pump blood to the gills, and one pumps it to the rest of the body"
Q_0307,TrueFalse,Text,TF_07,The Earth revolves around the Sun in 365 days exactly,TRUE,FALSE,,,2,"It takes approximately 365.25 days, which is why we add a leap year every four years"
Q_0308,TrueFalse,Text,TF_08,Wi-Fi stands for Wireless Fidelity,TRUE,FALSE,,,2,"Wi-Fi does not stand for anything. It�s a brand name, not an abbreviation"
Q_0309,TrueFalse,Text,TF_09,Dolphins are mammals,TRUE,FALSE,,,1,"Dolphins breathe air, give birth to live young, and nurse them with milk"
Q_0310,TrueFalse,Text,TF_10,Water expands when it freezes,TRUE,FALSE,,,1,"When water freezes, its molecules form a structure that takes up more space, causing expansion"
Q_0311,MultipleChoice,Text,MC_01,Which of the following are programming languages?,Python,HTML,Java,Photoshop,1|2|3,"Python and Java are programming languages, and HTML is a markup language used for structuring web content. Photoshop is image-editing software."
Q_0312,MultipleChoice,Text,MC_02,Which of the following are mammals?,Dolphin,Whale,Shark,Bat,1|2|4,"Dolphins, whales, and bats are mammals. Sharks are fish."
Q_0313,MultipleChoice,Text,MC_03,Which planets are known as gas giants?,Earth,Jupiter,Saturn,Mars,2|3,"Jupiter and Saturn are gas giants, while Earth and Mars are rocky planets."
Q_0314,MultipleChoice,Text,MC_04,Which of the following are primary colors?,Red,Green,Blue,Yellow,1|3|4,"In traditional color theory, red, blue, and yellow are primary colors."
Q_0315,MultipleChoice,Text,MC_05,Which of the following can be used to connect to the internet?,Wi-Fi,Mobile Data,Ethernet Cable,Bluetooth Speaker,1|2|3,"Wi-Fi, mobile data, and Ethernet provide internet connectivity. A Bluetooth speaker does not."
Q_0316,MultipleChoice,Text,MC_06,Which of the following are renewable energy sources?,Solar,Wind,Coal,Hydropower,1|2|4,"Solar, wind, and hydropower are renewable. Coal is non-renewable."
Q_0317,MultipleChoice,Text,MC_07,Which of the following are continents?,Africa,Europe,Greenland,Asia,1|2|4,"Africa, Europe, and Asia are continents. Greenland is an island."
Q_0318,MultipleChoice,Text,MC_08,Which of the following are web browsers?,Chrome,Firefox,Linux,Safari,1|2|4,"Chrome, Firefox, and Safari are browsers. Linux is an operating system."
Q_0319,MultipleChoice,Text,MC_09,Which of the following are units of measurement?,Meter,Second,Kilogram,Pixel,1|2|3|4,"All listed options are units used to measure length, time, mass, and digital resolution."
Q_0320,MultipleChoice,Text,MC_10,Which of the following are input devices?,Keyboard,Mouse,Monitor,Microphone,1|2|4,"Keyboard, mouse, and microphone are input devices. Monitor is an output device."
